date,mean_prox,AR,snow_depth,tmin_avgC,fSCA,hunting,feeding,N
1/1/2017,0.132291667,0.169270833,0.81345173,-21.8064003,0.852590712,0,0,16
1/2/2017,0.102604167,0.132291667,0.793528233,-21.93720016,0.854835633,0,0,16
1/3/2017,0.064583333,0.102604167,0.806533698,-21.52799988,0.856236088,0,0,16
1/4/2017,0.097395833,0.064583333,0.827735883,-20.49899979,0.856412487,0,0,16
1/5/2017,0.13125,0.097395833,0.817256831,-22.2723999,0.855534116,0,0,16
1/6/2017,0.143229167,0.13125,0.875464481,-24.29340019,0.854092828,0,0,16
1/7/2017,0.126041667,0.143229167,0.8556102,-26.07720032,0.852580766,0,1,16
1/8/2017,0.234375,0.126041667,0.807928962,-27.51040039,0.851843656,0,1,16
1/9/2017,0.2875,0.234375,0.840360656,-26.50640049,0.852529883,0,1,16
1/10/2017,0.282291667,0.2875,1.065785064,-22.54560032,0.854803303,0,1,16
1/11/2017,0.290625,0.282291667,1.265336976,-17.74799995,0.858255906,0,1,16
1/12/2017,0.2640625,0.290625,1.398495446,-13.9657999,0.861956234,0,1,16
1/13/2017,0.215104167,0.2640625,1.522098361,-13.26540012,0.864728461,0,1,16
1/14/2017,0.277048611,0.215104167,1.239459016,-15.7262001,0.865436522,0,1,16
1/15/2017,0.359895833,0.277048611,1.184016393,-19.00220032,0.86369151,0,1,16
1/16/2017,0.4171875,0.359895833,1.14179235,-22.36960049,0.860011783,0,1,16
1/17/2017,0.480729167,0.4171875,1.107892532,-24.73680038,0.855522517,0,1,16
1/18/2017,0.351041667,0.480729167,1.079134791,-24.03880005,0.851260034,0,1,16
1/19/2017,0.248958333,0.351041667,1.047812386,-22.77360001,0.847833463,0,1,16
1/20/2017,0.219791667,0.248958333,1.025508197,-19.95679989,0.84520331,0,1,16
1/21/2017,0.216145833,0.219791667,1.062921676,-17.47219982,0.842811722,0,1,16
1/22/2017,0.2765625,0.216145833,1.042830601,-14.97599983,0.840457634,0,1,16
1/23/2017,0.297395833,0.2765625,1.031559199,-12.98659992,0.838015556,0,1,16
1/24/2017,0.369270833,0.297395833,1.049300546,-11.45200005,0.835840858,0,1,16
1/25/2017,0.38125,0.369270833,1.108905282,-12.45020008,0.834543875,0,1,16
1/26/2017,0.338541667,0.38125,1.15857377,-13.1948,0.834896541,0,1,16
1/27/2017,0.373958333,0.338541667,1.10987796,-15.64340019,0.837872459,0,1,16
1/28/2017,0.321231618,0.373958333,1.097857923,-18.30200024,0.843695761,0,1,17
1/29/2017,0.306525735,0.321231618,1.076834244,-20.13360023,0.851192724,0,1,17
1/30/2017,0.310202206,0.306525735,1.057355191,-20.8302002,0.858996612,0,1,17
1/31/2017,0.337316176,0.310202206,1.04026776,-20.89360008,0.865960023,0,1,17
2/1/2017,0.369485294,0.337316176,1.009876138,-17.56019993,0.871511144,0,1,17
2/2/2017,0.355238971,0.369485294,1.004846995,-14.82559986,0.875473235,0,1,17
2/3/2017,0.291819853,0.355238971,0.987863388,-13.57919979,0.877859154,0,1,17
2/4/2017,0.422334559,0.291819853,1.002167577,-12.06159973,0.878728104,0,1,17
2/5/2017,0.434283088,0.422334559,1.183739526,-9.602799892,0.878329909,0,1,17
2/6/2017,0.375919118,0.434283088,1.316978142,-9.11439991,0.877118737,0,1,17
2/7/2017,0.378676471,0.375919118,1.318265938,-8.197399998,0.87577709,0,1,17
2/8/2017,0.389705882,0.378676471,1.504544627,-6.792399979,0.874943855,0,1,17
2/9/2017,0.313878676,0.389705882,1.500200364,-5.717599964,0.874746017,0,1,17
2/10/2017,0.239430147,0.313878676,1.485639344,-5.117799926,0.874525453,0,1,17
2/11/2017,0.284466912,0.239430147,1.356087432,-5.169999957,0.873646033,0,1,17
